"id","ts","temp_c","led_on","raw_adc","v_volts","rt_kohm","device_id","source"
"1559","2025-11-14 10:49:06.765851-03","23.290",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1558","2025-11-14 10:48:56.760072-03","23.210",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1557","2025-11-14 10:48:46.748582-03","23.190",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1556","2025-11-14 10:48:36.738956-03","23.120",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1555","2025-11-14 10:48:26.728536-03","23.120",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1554","2025-11-14 10:48:16.716919-03","23.150",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1553","2025-11-14 10:48:06.706562-03","23.120",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1552","2025-11-14 10:47:56.696539-03","23.110",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1551","2025-11-14 10:47:46.685893-03","23.120",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1550","2025-11-14 10:47:36.67535-03","23.120",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1549","2025-11-14 10:47:26.665137-03","22.940",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1548","2025-11-14 10:47:16.654268-03","22.940",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1547","2025-11-14 10:47:06.643891-03","23.120",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1546","2025-11-14 10:46:56.632923-03","23.160",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1545","2025-11-14 10:46:46.622426-03","23.210",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1544","2025-11-14 10:46:36.611984-03","23.190",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1543","2025-11-14 10:46:26.600829-03","23.080",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1542","2025-11-14 10:46:16.59074-03","23.110",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1541","2025-11-14 10:46:06.580067-03","23.100",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1540","2025-11-14 10:45:56.570007-03","23.010",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1539","2025-11-14 10:45:46.559845-03","22.940",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1538","2025-11-14 10:45:36.54855-03","23.030",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1537","2025-11-14 10:45:26.537946-03","23.060",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1536","2025-11-14 10:45:16.527743-03","23.030",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1535","2025-11-14 10:45:06.516877-03","22.940",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1534","2025-11-14 10:44:56.50582-03","23.050",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1533","2025-11-14 10:44:46.497175-03","23.090",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1532","2025-11-14 10:44:36.485658-03","22.940",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1531","2025-11-14 10:44:26.475318-03","22.940",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1530","2025-11-14 10:44:16.460863-03","22.860",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1529","2025-11-14 10:44:06.45281-03","22.860",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1528","2025-11-14 10:43:56.443649-03","22.860",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1527","2025-11-14 10:43:46.432555-03","22.940",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1526","2025-11-14 10:43:36.417629-03","22.940",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1525","2025-11-14 10:43:26.40946-03","23.030",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1524","2025-11-14 10:43:16.399563-03","23.120",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1523","2025-11-14 10:43:06.388982-03","23.120",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1522","2025-11-14 10:42:56.379041-03","22.940",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1521","2025-11-14 10:42:46.368193-03","22.770",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1520","2025-11-14 10:42:36.35368-03","22.680",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1519","2025-11-14 10:42:26.345928-03","22.740",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1518","2025-11-14 10:42:16.328181-03","22.860",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1517","2025-11-14 10:42:06.325394-03","22.860",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1516","2025-11-14 10:41:56.313095-03","22.940",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1515","2025-11-14 10:41:46.301646-03","23.210",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1514","2025-11-14 10:41:36.29317-03","23.120",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1513","2025-11-14 10:41:26.283183-03","23.210",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1512","2025-11-14 10:41:16.273945-03","23.030",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1511","2025-11-14 10:41:06.263186-03","22.940",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1510","2025-11-14 10:40:56.252576-03","23.040",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1509","2025-11-14 10:40:46.242212-03","23.290",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1508","2025-11-14 10:40:36.231771-03","23.120",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1507","2025-11-14 10:40:26.221172-03","23.110",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1506","2025-11-14 10:40:16.210778-03","23.030",False,NULL,NULL,NULL,"esp8266-d2","serial"
"1505","2025-11-14 10:40:06.200395-03","23.120",False,NULL,NULL,NULL,"esp8266-d2","serial"
